帖子,基础语句,评论,相关度
评论,找辅导员或者学校心理中心,首先呢你应该直接把问题抛出来像这样直接发个二维码别人不知道你是骗子还是麦片的其次贴吧里本科生居多而且很多乐子人大多数都是看热闹的,0.0
评论,找辅导员或者学校心理中心,学校有免费心理辅导一学期最多六次每周一次,0.0
评论,找辅导员或者学校心理中心,发生什么了捏如果是真的的话可以加让你发泄发泄,0.0
评论,找辅导员或者学校心理中心,太哈人了,0.0
评论,找辅导员或者学校心理中心,学姐让我来帮你,0.0
本打算考本校的研究生,打算报考计算机,不知道导师老板们怎么样捏,0.57735026
本打算考本校的研究生,打算报考计算机,本科时候哪个专业要跨专业么,0.0
本打算考本校的研究生,打算报考计算机,快跑,0.0
大家有没有在实训楼上的课,实训楼的老师是不是都多少沾点啊鼠鼠一共三节在实训楼上的课三个老师两个摆子一个事巨多这种人为什么能在本部教书呢现在感觉大一时候通州那些老师真的好负责大家有没有在实训楼上的课老师怎么样呢,提醒下报选修课的大伙不要报李家君的程序设计基础不要报李家君的程序设计基础不要报李家君的程序设计基础想学可以报别人的或者自学都比他教的更强,0.47289443
大家有没有在实训楼上的课,实训楼的老师是不是都多少沾点啊鼠鼠一共三节在实训楼上的课三个老师两个摆子一个事巨多这种人为什么能在本部教书呢现在感觉大一时候通州那些老师真的好负责大家有没有在实训楼上的课老师怎么样呢,是这样的模电实验讲半个小时就剩下的自己做下课,0.006752454
大家有没有在实训楼上的课,实训楼的老师是不是都多少沾点啊鼠鼠一共三节在实训楼上的课三个老师两个摆子一个事巨多这种人为什么能在本部教书呢现在感觉大一时候通州那些老师真的好负责大家有没有在实训楼上的课老师怎么样呢,之前在实训楼上电子实验的老师感觉他可能也不知道自己在教什么纯纯的混而且管实验室的还特拽,0.00617657
大家有没有在实训楼上的课,实训楼的老师是不是都多少沾点啊鼠鼠一共三节在实训楼上的课三个老师两个摆子一个事巨多这种人为什么能在本部教书呢现在感觉大一时候通州那些老师真的好负责大家有没有在实训楼上的课老师怎么样呢,回复贴吧用户是这样的我也已经上过了特么的李家军告诉你考试之前他还发一套卷子给你做考的一模一样吧,0.18911391
大家有没有在实训楼上的课,实训楼的老师是不是都多少沾点啊鼠鼠一共三节在实训楼上的课三个老师两个摆子一个事巨多这种人为什么能在本部教书呢现在感觉大一时候通州那些老师真的好负责大家有没有在实训楼上的课老师怎么样呢,实训楼离一号楼真的好远,0.005606344
大家有没有在实训楼上的课,实训楼的老师是不是都多少沾点啊鼠鼠一共三节在实训楼上的课三个老师两个摆子一个事巨多这种人为什么能在本部教书呢现在感觉大一时候通州那些老师真的好负责大家有没有在实训楼上的课老师怎么样呢,选修课选计院嫌弃高是吧,0.050672945
大家有没有在实训楼上的课,实训楼的老师是不是都多少沾点啊鼠鼠一共三节在实训楼上的课三个老师两个摆子一个事巨多这种人为什么能在本部教书呢现在感觉大一时候通州那些老师真的好负责大家有没有在实训楼上的课老师怎么样呢,我们去的时候都没有老师只有助教,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,对于专业课有什么不会或者不清楚的都可以在本帖回复我都会一一进行回复,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,分享一些考研经验,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,数学,0.31265882
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,一定要多练我就是吃了大亏上考场不熟练做题就慢课看了一遍就行了不要反复来回刷浪费时间只有自己做题才知道是不是真会了,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,考研英语,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,基础薄弱的同学可以用太阳城考研英语件套单词书恋恋有词红宝书墨墨背单词需要充值但很好用扇贝闪过英语考研词汇闪过频考词基础词偶考词超纲词已划分划重点背诵可以节省时间单词书推荐了好几本选一本就可以个人觉得第一本很好,0.56910086
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,考研政治,0.13258144
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,个人觉得腿姐和徐涛都不错政治小白一定要听课不然分的多选题分的单选题还不知道拿几分主要是方便理解,0.64504707
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,政治用了肖秀荣的精讲精练题肖四肖八各个老师的模拟题还有课后习题讲解,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,学长请问一下有信号系统的吗,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,有没有详细一点的土木水利专业课大纲,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,材料科学基础谢谢,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,谢谢分享,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,书山有路勤为径学海无涯苦作舟,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,学长打扰了想问一下土木水利的结构与岩土是各占多少分呢大致的题型是怎样的,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,有控制科学的题吗,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,有信号与系统的资料吗,0.0
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,学长有年真题答案嘛,0.0
研究生论文可以用学校的账号在知网免费查重吗,如题有了解的同学不,不可以吧一般都是学院给查可以淘宝看看,0.037211575
研究生论文可以用学校的账号在知网免费查重吗,如题有了解的同学不,学信网有一次免费查重的机会,0.3241796
我们是,有一说一提醒各位同学以后做简历的时候确实要标一下北工大是要不然有的企业真不知道,输,0.056210287
我们是,有一说一提醒各位同学以后做简历的时候确实要标一下北工大是要不然有的企业真不知道,错误的是我们,0.0
我们是,有一说一提醒各位同学以后做简历的时候确实要标一下北工大是要不然有的企业真不知道,错误的是橘子捏,0.6431325
我们是,有一说一提醒各位同学以后做简历的时候确实要标一下北工大是要不然有的企业真不知道,错误的是大专我们要有自知之明捏,0.18495107
我们是,有一说一提醒各位同学以后做简历的时候确实要标一下北工大是要不然有的企业真不知道,我们不是大专吗,0.25889617
我们是,有一说一提醒各位同学以后做简历的时候确实要标一下北工大是要不然有的企业真不知道,我们就是,0.16169877
我们是,有一说一提醒各位同学以后做简历的时候确实要标一下北工大是要不然有的企业真不知道,删你评论,0.24482976
我们是,有一说一提醒各位同学以后做简历的时候确实要标一下北工大是要不然有的企业真不知道,憨皇,0.0
原来是假阳,小卖部恐成唯一赢家,你看的比我都准,0.0
原来是假阳,小卖部恐成唯一赢家,我超,0.0
哈哈哈嗨嗨,我认为应该是木,你说得对但是忘了,0.0
哈哈哈嗨嗨,我认为应该是木,差不多得了这就一,0.0
哈哈哈嗨嗨,我认为应该是木,原神怎么你了,0.0
哈哈哈嗨嗨,我认为应该是木,钝角,0.0
哈哈哈嗨嗨,我认为应该是木,蓝色药丸,0.0
哈哈哈嗨嗨,我认为应该是木,你说得对但是我们这个压缩毛巾体积小方便携带拆开一包放水里就变大怎么扯都扯不坏用来擦脚擦脸擦嘴都是很好用的你看打开以后像圆饼一样大小放在水里遇水变大变高吸水性很强的打开以后是一条加大加厚的毛巾你看他怎么挣都挣不坏好不掉毛不掉絮使用七八次都没问题出差旅行带上它非常方便用它擦擦脚再擦擦嘴擦擦脸干净卫生什么在哪里买下方小黄车买五包送五包还包邮,0.0
哈哈哈嗨嗨,我认为应该是木,这棵树今天每日健康打卡了吗,0.0
今天是呆唯的生日,快来说生日快乐,生日快乐,0.0
今天是呆唯的生日,快来说生日快乐,生日快乐捏,0.0
今天是呆唯的生日,快来说生日快乐,生日快乐捏,0.0
今天是呆唯的生日,快来说生日快乐,生日快乐,0.0
今天是呆唯的生日,快来说生日快乐,我更喜欢秋山澪,0.0
今天是呆唯的生日,快来说生日快乐,呆唯岁生日快乐,0.0
今天是呆唯的生日,快来说生日快乐,生日快乐捏,0.7069347
今天是呆唯的生日,快来说生日快乐,生日快乐捏,0.0
今天是呆唯的生日,快来说生日快乐,生日快乐捏,0.0
今天是呆唯的生日,快来说生日快乐,阿姨生日快乐,0.0
今天是呆唯的生日,快来说生日快乐,生日快乐,0.0
今天是呆唯的生日,快来说生日快乐,生日快乐捏,0.0
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,希望大家都由我管理,0.56322306
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,我个小吧我什么都听你的,0.0
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,请狠狠的管理我,0.39513007
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,什么刹帝利,0.15468901
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,还让你嗦话,0.0
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,嗦,0.0
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,凭什么啊,0.0
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,你管得了我,0.0
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,你是,0.0
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,可笑,0.0
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,我也要小吧主,0.0
身为列为第一的小吧主,我希望小吧主也可以排一个等级而我可以是引领所有小吧主的人是此吧的二把手,你是,0.5753217
有已经润了的京外研究生吗,京内润了,想润,0.242144
有已经润了的京外研究生吗,京内润了,京京我,0.0
有已经润了的京外研究生吗,京内润了,润不了师兄不让润,0.0
有已经润了的京外研究生吗,京内润了,你们研二啥时候开题,0.26767975
有已经润了的京外研究生吗,京内润了,已经润了捏,0.0
保研资料分享,之前保研过程中一些比较实用的资料有需要的可以联系我免费分享,求分享,0.33333334
保研资料分享,之前保研过程中一些比较实用的资料有需要的可以联系我免费分享,求分享,0.0
校内看球贴,校内封着太无聊了有没有人一起看球,可以聊聊小道消息,0.31622776
有没有计算机的学长分享下专业课的备考经验,能考进北京工业大学封校关我三年我都乐意但现在光数学都学的我焦头烂额很想一战上岸希望师哥师姐能分享分享学习经验,打算考同蹲一个,0.31878835
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,同蹲,0.49931553
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,我也是,0.0
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,顺便拉我下,0.0
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,同蹲,0.0
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,学长我也想问你一些事情,0.0
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,同求有偿,0.0816439
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,求资料,0.0
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,蹲,0.23357776
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,我也是,0.0
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,求联系方式想咨询一下专硕的信息,0.0
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,学长能询问有关导师的问题吗,0.2551948
求计算机专硕学长学姐,在线蹲求计算机专硕的学长学姐咨询复试相关事情可有偿,蹲一个想了解了解情况打算考的,0.069400884
第一次玩这个吧,有什么要注意的,有没有一起玩的瓦友,0.0
第一次玩这个吧,有什么要注意的,不玩原神不允许在本吧发帖,0.48260245
第一次玩这个吧,有什么要注意的,我的牛纸先,0.0
第一次玩这个吧,有什么要注意的,这是瓦罗兰特吗,0.0
第一次玩这个吧,有什么要注意的,买把蝴蝶刀,0.0
第一次玩这个吧,有什么要注意的,不如派派,0.0
第一次玩这个吧,有什么要注意的,衮,0.0
第一次玩这个吧,有什么要注意的,这是还是派,0.0
第一次玩这个吧,有什么要注意的,不如王者荣耀,0.0
第一次玩这个吧,有什么要注意的,飞进去嘎嘎乱杀,0.0
北京工业大学本部离北京市中心近吗,不算远,比海南大学离市中心近,0.0
北京工业大学本部离北京市中心近吗,不算远,看你怎么定义市中心,0.67605
北京工业大学本部离北京市中心近吗,不算远,不算远,0.0
北京工业大学本部离北京市中心近吗,不算远,还行吧,0.0
北京工业大学本部离北京市中心近吗,不算远,要是想花钱的话学校附近就是北京最能花的地方,0.0
这下真的寄了,呜呜呜,老师们同学们经属地疾控核酸检测我校平乐园校区名人员复核初筛为阳性目前在疾控部门的指导下平乐园校区正在划定风险区域启动分楼分时全员核酸检测请大家按照所在楼宇楼长的安排佩戴口罩保持安全距离有序参加核酸检测感谢大家的理解支持和配合,0.0
这下真的寄了,呜呜呜,寄,0.0
这下真的寄了,呜呜呜,这次是学生还是教职工啊感觉不像是学生,0.52271324
这下真的寄了,呜呜呜,寄,0.0
这下真的寄了,呜呜呜,之前还播报抗原阴现在又,0.52271324
这下真的寄了,呜呜呜,寄,0.0
这下真的寄了,呜呜呜,那个楼啊,0.52271324
这下真的寄了,呜呜呜,那个楼呀晕了,0.0
这下真的寄了,呜呜呜,是个清洁工,0.32580477
这下真的寄了,呜呜呜,寄,0.0
这下真的寄了,呜呜呜,多大的事儿啊听安排就完了呗,0.52271324
来个大二大三的教我语言,求求你们了私我,我请你疯狂星期四,0.068202965
来个大二大三的教我语言,求求你们了私我,单机贴吧,0.072335735
来个大二大三的教我语言,求求你们了私我,鼠鼠我只会捏,0.0
来个大二大三的教我语言,求求你们了私我,不会,0.09726641
来个大二大三的教我语言,求求你们了私我,只会捏,0.0
来个大二大三的教我语言,求求你们了私我,建议站大学我就是在那里自学的,0.0
来个大二大三的教我语言,求求你们了私我,给你网盘自学好不好这东西靠别人教不明白的,0.19575056
来个大二大三的教我语言,求求你们了私我,也在学捏,0.29827622
来个大二大三的教我语言,求求你们了私我,语言不是有手就行,0.0
来个大二大三的教我语言,求求你们了私我,不会去语言吧,0.16579801
来个大二大三的教我语言,求求你们了私我,建议去跟近战法师学,0.21900792
来个大二大三的教我语言,求求你们了私我,浙大那老师讲得要比较好,0.0
常用网址建议收藏,你发的啥玩意我觉得你挺眼熟的速速回我不然封禁,真是正经玩意,0.0
常用网址建议收藏,你发的啥玩意我觉得你挺眼熟的速速回我不然封禁,好东西,0.0
常用网址建议收藏,你发的啥玩意我觉得你挺眼熟的速速回我不然封禁,妈的我还以为是那种网址,0.0
常用网址建议收藏,你发的啥玩意我觉得你挺眼熟的速速回我不然封禁,真是好东西,0.38484606
常用网址建议收藏,你发的啥玩意我觉得你挺眼熟的速速回我不然封禁,呃呃,0.0
新头像可爱滴捏,咱们也有啦,可爱捏,0.0
新头像可爱滴捏,咱们也有啦,岚燕可爱捏,0.6551266
新头像可爱滴捏,咱们也有啦,原来这就是我每天进入的白红妲,0.4291908
新头像可爱滴捏,咱们也有啦,记着上次换二次元头像后吧主全被撸了,0.0
新头像可爱滴捏,咱们也有啦,我的实验服白毛他不香吗,0.2277976
又得狂暴复习了,李老师的课自求多福,这是哪个同道中人太了直接开摆了计量寄了,0.0
又得狂暴复习了,李老师的课自求多福,加油,0.7442084
又得狂暴复习了,李老师的课自求多福,我靠我也考有没有懂哥说说不会给不及格吧,0.0
又得狂暴复习了,李老师的课自求多福,他保底你从头到尾不出现也是不过计量还挺有用的想学我可以教你,0.0
又得狂暴复习了,李老师的课自求多福,寄凉惊寄学,0.0
又得狂暴复习了,李老师的课自求多福,他保底你从头到尾不出现也是不过计量还挺有用的想学我可以教你,0.0
又得狂暴复习了,李老师的课自求多福,好在没有去线下上线上的课,0.0
又得狂暴复习了,李老师的课自求多福,什么课,0.0
校领刀我爱你,集美们大无语事件在工带七年了比中蓝基本伙还难吃的饭第一次吃到靴靴,来我这尝尝隔离餐,0.0
校领刀我爱你,集美们大无语事件在工带七年了比中蓝基本伙还难吃的饭第一次吃到靴靴,三菜一饭不戳啦,0.0
校领刀我爱你,集美们大无语事件在工带七年了比中蓝基本伙还难吃的饭第一次吃到靴靴,不错了本部两菜一个玉米粒一个火锅丸子,0.0
校领刀我爱你,集美们大无语事件在工带七年了比中蓝基本伙还难吃的饭第一次吃到靴靴,第一天一般都比较差优先保证学生饿不着之后感觉会好起来,0.0
校领刀我爱你,集美们大无语事件在工带七年了比中蓝基本伙还难吃的饭第一次吃到靴靴,有畅行天下你见过有几个男的敢去西藏穷游的,0.0
校领刀我爱你,集美们大无语事件在工带七年了比中蓝基本伙还难吃的饭第一次吃到靴靴,不想吃就省着还有不够吃的呢饿你两天干啃馒头都香不信你就试试,0.0
校领刀我爱你,集美们大无语事件在工带七年了比中蓝基本伙还难吃的饭第一次吃到靴靴,不想吃就着五十年在出来说好吃难吃,0.0
校领刀我爱你,集美们大无语事件在工带七年了比中蓝基本伙还难吃的饭第一次吃到靴靴,这就不错啦我们昨天吃的火腿丸子加鱼丸加玉米粒给我吃吐了,0.0
校领刀我爱你,集美们大无语事件在工带七年了比中蓝基本伙还难吃的饭第一次吃到靴靴,不行别吃就行了事儿真多,0.0
家人们求一个表白墙的,如题,好多年前有一个叫北工大微生活的公众号你搜搜看还在不了,0.0
家人们求一个表白墙的,如题,加了自己不如不加基本上找个同学问一下就能问到,0.35355338
请问如何加入街舞社有联系方式或者宣传页吗,如题,哥们你加一下我私信发不过去,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,发生肾么事了,0.21874444
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,你是谁呀,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,爆杀,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,发生什么事了,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,细说,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,发生什么了,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,发生肾么事了,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,什么广域轰炸,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,字词,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,细说,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,西索,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,是岩贼同学吗,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,怎么了,0.0
听说吧里有内鬼,在窥探吧友然后私下搞小动作怎么不来找我找吧友算什么有本事当面出来呀,私我一下让我狠狠地拷打你,0.0
寻北京工业大学经济与管理学院学长学姐,寻经管的学长学姐最好是管理科学与工程学部的想咨询一下导师相关的问题谢谢,虽然没在工大读管科但老师还是知道几个,0.39223227
中蓝这种情况封几天,伊卡洛斯镇楼,没人帮我打,0.0
中蓝这种情况封几天,伊卡洛斯镇楼,天降之物是吧,0.0
中蓝这种情况封几天,伊卡洛斯镇楼,中蓝又没阳明天应该就没事了,0.0
中蓝这种情况封几天,伊卡洛斯镇楼,筛查完就没事了,0.3973597
中蓝这种情况封几天,伊卡洛斯镇楼,三天吧,0.0
中蓝这种情况封几天,伊卡洛斯镇楼,伊卡洛斯,0.0
中蓝这种情况封几天,伊卡洛斯镇楼,嘿嘿伊卡洛斯嘿嘿,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,化又赢,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,破防了,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,蚌白金宫不是百芳宫,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,好好好我芳又赢,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,是这贴吧头像是什么意思,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,啊这才看懂百芳是什么意思捏新闻扫了一眼就转过来了没听过百芳只闻白宫大名见谅,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,还上我首页了真难蚌,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,没事现在还回来就行,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,扣并入百芳,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,什么时候吞并百芳宫,0.0
谢谢工吧老哥,破大防喽这是白宫吧不是百芳吧,不利于白宫赢得不要发,0.0
请问咱学校选课的第一轮和第二轮有什么区别嘛,第一轮有一个忘选了不知道第二轮能不能选上,第二轮得拼手速和网速先到先得,0.34815532
校园网为什么这么慢,习惯就好,因为我在疯狂下片子,0.0
校园网为什么这么慢,习惯就好,因为在下小电影捏,0.0
校园网为什么这么慢,习惯就好,鹏博士是这样的,0.0
校园网为什么这么慢,习惯就好,人少了应该好点,0.0
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,雪豹闭嘴,0.53332865
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,要不去一教那边一教门口前面有几个杆子你弄上网凑合凑合也可以打,0.0
